timestamp,input_data,actual,predicted
2025-07-10 0:05,73.0527028,72.9954,73.280174
2025-07-10 0:05,72.6515692,72.59427,72.868866
2025-07-10 0:05,73.82474867,74.054375,74.072044
2025-07-10 0:06,77.2230926,77.50875,77.50716
2025-07-10 0:06,79.7410004,79.94977,79.82578
2025-07-10 0:06,81.37305232,81.5312,81.299194
2025-07-10 0:07,81.6421913,81.64822,81.54414
2025-07-10 0:07,80.7015175,80.57393,80.691345
2025-07-10 0:07,78.8275458,78.59082,79.00777
2025-07-10 0:08,75.70363875,75.36772,76.00313
2025-07-10 0:08,72.3207794,71.95988,72.522354
2025-07-10 0:08,67.69998733,67.26224,67.79176
2025-07-10 0:09,63.96268939,63.596073,64.86092
2025-07-10 0:09,62.42889283,62.305202,64.260956
2025-07-10 0:09,64.23144787,64.59442,64.98484
2025-07-10 0:09,69.11873316,69.62144,69.21486
2025-07-10 0:10,74.16821126,74.60577,74.418564
2025-07-10 0:10,78.24524916,78.64964,78.46666
2025-07-10 0:10,81.7444008,82.05172,81.625885
2025-07-10 0:11,83.9120211,84.093864,83.615005
2025-07-10 0:11,84.23530067,84.20757,83.92373
2025-07-10 0:11,82.6788188,82.510284,82.50059
2025-07-10 0:12,79.86641116,79.57265,79.95647
2025-07-10 0:12,75.26478775,74.822105,75.56613
2025-07-10 0:12,70.30982556,69.89077,70.44266
2025-07-10 0:13,67.67759787,67.40015,67.77798
2025-07-10 0:13,67.62620053,67.65849,67.73105
2025-07-10 0:13,70.44516,70.80252,70.56684
2025-07-10 0:13,73.3186639,73.569084,73.55438
2025-07-10 0:14,75.02704267,75.1868,75.300964
2025-07-10 0:14,75.75467975,75.82313,76.04071
2025-07-10 0:14,75.43612156,75.39172,75.721054
2025-07-10 0:15,79.80499214,80.197136,79.20284813
2025-07-10 0:15,82.17717839,82.460045,81.56004161
2025-07-10 0:15,82.50620862,82.52387,81.81133829
2025-07-10 0:15,83.4263095,83.61517,82.91404647
2025-07-10 0:16,87.25577411,87.710846,86.21197687
2025-07-10 0:16,83.03622937,83.00384,83.49510455
2025-07-10 0:16,89.25576733,89.580124,88.44168866
2025-07-10 0:16,88.61055401,88.472046,87.61048311
2025-07-10 0:17,90.77183119,91.084366,90.18853968
2025-07-10 0:17,91.71066455,91.77091,90.59099146
2025-07-10 0:17,91.12112704,91.05183,90.22103236
2025-07-10 0:18,87.74063111,87.547646,87.96797841
2025-07-10 0:18,87.13583495,87.074486,87.31041475
2025-07-10 0:18,86.34693845,86.33963,86.70202808
2025-07-10 0:19,86.93190573,87.02118,87.20711501
2025-07-10 0:19,88.15985072,88.22941,87.97231274
2025-07-10 0:19,84.75434428,84.368225,84.59661757
2025-07-10 0:19,91.60990305,92.37025,91.57303538
2025-07-10 0:20,92.26972372,92.25716,91.65436658
2025-07-10 0:20,92.53389713,92.56984,92.17383007
2025-07-10 0:20,95.0788039,95.39633,94.79633579
2025-07-10 0:21,96.19463936,96.28334,95.58333975
2025-07-10 0:21,95.42237283,95.31475,94.96692047
2025-07-10 0:21,89.32790708,88.70467,89.41653805
2025-07-10 0:21,88.2774157,88.22401,88.68247033
2025-07-10 0:22,88.22400893,93.301575,92.50157172
2025-07-10 0:22,90.32124509,89.895485,90.15356383
2025-07-10 0:22,88.14773998,88.05184,88.80362759
2025-07-10 0:22,89.57076745,89.78776,90.0118659
2025-07-10 0:23,89.22034564,89.16052,89.6472364
2025-07-10 0:23,89.23593372,89.24604,89.54828398
2025-07-10 0:23,91.69080582,91.96907,91.4309038
2025-07-10 0:24,91.50172409,91.465454,91.26153322
2025-07-10 0:24,91.57128241,91.4273,91.67912164
2025-07-10 0:24,87.32794986,87.14091,87.82429474
2025-07-10 0:25,90.63940471,90.847466,90.11150976
2025-07-10 0:25,87.96558501,87.65838,88.30941764
2025-07-10 0:25,84.44287183,83.98351,84.68143427
2025-07-10 0:25,83.91610985,83.85677,84.71874344
2025-07-10 0:26,82.18353265,82.01409,82.55958903
2025-07-10 0:26,80.78560021,80.74645,81.49460101
2025-07-10 0:26,82.14638589,82.37439,82.65008481
2025-07-10 0:27,85.35768354,85.73059,85.57203004
2025-07-10 0:27,88.31236173,88.50785,88.28362005
2025-07-10 0:27,89.08946452,89.16216,89.21063342
2025-07-10 0:28,89.16216586,92.82824,92.22823459
2025-07-10 0:28,92.82823459,94.47386,93.77386462
2025-07-10 0:28,94.47386462,93.71553,93.21553459
2025-07-10 0:28,93.71553459,92.98286,92.78285367
2025-07-10 0:29,92.98285367,89.445526,89.84552841
