Process_ID,Timestamp,Tool_Type,Wafer_ID,Chamber_Temperature,Gas_Flow_Rate,RF_Power,Etch_Depth,Rotation_Speed,Vacuum_Pressure,Stage_Alignment_Error,Vibration_Level,UV_Exposure_Intensity,Particle_Count,Defect,Join_Status
P1413,2025-07-01 05:12:36,Lithography,WAF58120,74.07772764672715,56.5274315390212,324.28192337549143,554.3580764289212,1397.9361213230163,0.5499743623461455,2.147302307902783,0.009007231785540982,128.41936122221003,118,0,Joining
P1687,2025-07-01 03:54:12,Deposition,WAF31094,74.34149873070045,39.350802470660405,364.5270830961135,493.38289520998484,1433.4882744198028,0.4073506675298679,2.970405423689995,0.007926562333487666,109.4498477590956,525,0,Joining
P1802,2025-07-01 01:26:33,Deposition,WAF44062,74.62609351674345,38.18139322531143,314.25718250538796,589.5444756458685,1311.3454301530996,0.4802820035890161,1.310555102863002,0.008855571589495858,161.1726855561821,729,0,Joining
P1735,2025-07-01 03:57:06,Etching,WAF46726,79.46736447212996,47.569284487849956,301.46408199283525,488.9861176320645,1342.928969623242,0.49294016269291197,1.564590484722533,0.009415942680605393,133.25945403865535,178,0,Joining
P1444,2025-07-01 03:46:03,Lithography,WAF39030,76.22120526430285,59.152873254932814,289.70209803225663,458.0127624568553,1785.02525172142,0.557100615412457,2.338088871474074,0.009590071189401245,117.12934789074737,514,1,Non-Joining
P1831,2025-07-01 05:17:00,Lithography,WAF77484,72.40599978814313,52.23074273237132,286.1615431467822,495.47624856200815,1363.693531988358,0.43272377185761707,3.1334144186582953,0.009359727589919573,139.2922202112424,513,0,Joining
P1571,2025-07-01 00:28:48,Etching,WAF93190,74.0315816997781,34.52468974511065,325.0602091192061,502.50320726083555,1860.943159033033,0.5578129002117641,1.8587713090405895,0.008603912523783733,115.39115320810585,445,1,Non-Joining
P1821,2025-07-01 04:20:06,Deposition,WAF48082,74.97294332673646,34.676196010300764,219.52026787483777,564.1771084865959,1250.1889718257432,0.570860899980237,0.037161801167745034,0.009036524927564352,136.7422354079172,653,0,Joining
P1170,2025-07-01 05:18:09,Etching,WAF90138,75.5745636318574,31.129064758021585,222.565983137177,485.66059811811624,1037.9245393822118,0.49476140121257745,2.8426104960275143,0.015431721800291164,123.81816467249313,970,0,Joining
P1037,2025-07-01 00:21:57,Etching,WAF34798,89.37041349004957,74.38399345170654,221.14658661635923,618.6814594152853,1342.4179791940376,0.4461460417910243,1.823189733334299,0.015129951884968247,154.05993765333648,787,0,Joining
P1915,2025-07-01 02:17:30,Lithography,WAF89845,74.77700664002388,46.819800939943846,279.92653927594597,563.0668381399121,2071.3806573941088,0.39230537608299504,0.19721261365737663,0.011886550288738359,108.9788464598126,298,0,Joining
P1708,2025-07-01 06:14:21,Lithography,WAF49453,85.66632340780927,69.29353344007963,285.92159859738865,511.2640616868184,1360.28276412715,0.529751554571458,2.4232943726988356,0.01853992600936837,118.53644195451963,796,0,Joining
P1390,2025-07-01 04:23:36,Etching,WAF54023,69.66291507055655,50.12246940973343,271.63106370495314,403.20100381881593,1383.952796357604,0.4383302095366761,1.8274246895968809,0.0035061706214461804,122.51425175718947,109,0,Joining
P1180,2025-07-01 04:42:39,Etching,WAF25396,68.72265995153792,53.610374198447616,289.94013156355226,354.9799682331784,1472.7808906267855,0.5439583101543332,1.9338569723374726,0.008120337063282496,131.50978963922944,295,0,Joining
P1513,2025-07-01 03:19:57,Etching,WAF29329,79.9805239465855,51.284591157398154,358.77130311734044,508.09471109370395,1525.4984553805198,0.5235515804144197,1.0654474650562338,0.005371865120573028,143.34787936942507,845,0,Joining
P1617,2025-07-01 05:01:39,Etching,WAF59465,73.87443719657442,62.74118092607574,369.5860156322554,373.8211187324763,1412.856605218065,0.5073871984412358,2.8290949613426437,0.005823075493619522,108.16742452773313,563,0,Joining
P1876,2025-07-01 00:29:06,Lithography,WAF96643,80.71027296176123,63.4621276611262,229.92904401924935,385.80456469341493,1626.5583357686426,0.4041790484816447,2.651624157264341,0.010787691655074214,106.25159413937719,674,0,Joining
P1755,2025-07-01 08:16:30,Lithography,WAF12684,73.46702737678874,40.37142894766461,267.3502100928139,451.32496876089397,1264.9534087653067,0.473302546900172,1.578808981052687,0.01264993581403671,109.09830524324133,545,0,Joining
P1386,2025-07-01 05:52:33,Etching,WAF95151,71.5951658204351,63.30257779156228,239.92175220641207,475.32722316513275,1113.2940803696702,0.5044291926603318,2.319108490380349,0.005137623145771817,102.85182368376977,487,1,Non-Joining
P1851,2025-07-01 06:47:54,Lithography,WAF26705,82.01181326725113,46.84866830259935,307.93749338981536,464.2598973759098,1375.0941231551597,0.49802189343648673,1.9893695488944516,0.011519540239085684,134.50923160553478,949,1,Non-Joining
P1293,2025-07-01 08:14:48,Etching,WAF98484,76.27618978019466,53.02654430644272,327.7411748974172,468.090625415797,1744.4055755554705,0.509730823118532,0.4153960557283489,0.014060958218801337,107.39778865554592,703,1,Non-Joining
P1190,2025-07-01 01:52:27,Lithography,WAF52320,72.14801630201629,35.35547944875185,346.27990264475,203.40442418558638,1427.8999475649755,0.5028548706452894,0.6099112026291167,0.003254898843380003,113.89925219610156,311,0,Joining
P1062,2025-07-01 03:52:00,Lithography,WAF54764,76.76756992224213,25.09248261699179,310.62223475130946,526.2489250246366,1730.2211405616245,0.5167776142210534,2.2287219257999387,0.010167258151448864,122.73299245565897,595,0,Joining
P1168,2025-07-01 07:54:15,Deposition,WAF66820,69.51061855872658,57.63642583882336,315.7179187575165,611.3991956143044,1152.3321117371677,0.5146479294221912,2.254648962871302,0.0010786965088900244,95.33059938928484,112,0,Joining
P1546,2025-07-01 04:07:21,Deposition,WAF90800,76.93913671004479,44.2271214939733,355.9825508492968,505.67989724268665,1359.6287080931738,0.47741683255779405,2.752691821826607,0.019110153482724535,116.6216259821864,605,0,Joining
P1056,2025-07-01 08:16:00,Deposition,WAF29329,73.95100919822735,44.6838940737133,258.04387960970064,562.990425831618,1681.8912812698115,0.461428842127215,2.1528749736261426,0.010248668972225128,120.86532407451912,904,0,Joining
P1199,2025-07-01 01:38:09,Etching,WAF24937,74.32677954087602,45.12221968491458,309.4641870787719,434.8060574035222,1512.9229121377439,0.5052722814354417,1.8234345412694672,0.014292561024128504,111.62182425905756,641,0,Joining
P1885,2025-07-01 06:52:09,Lithography,WAF69416,79.5386275985435,34.078676658620175,329.01611033553485,603.9479085040552,1570.9887377569867,0.5063940491119734,1.302116318407307,0.013258205514993422,98.91516398766616,476,0,Joining
P1339,2025-07-01 05:29:30,Etching,WAF97637,78.66420903498816,46.52935946813057,338.07570171308555,642.7546665991771,1296.3203026835529,0.5498210038621096,1.2209355152403991,0.015217641638258473,139.54549899714726,375,1,Non-Joining
P1344,2025-07-01 07:22:21,Deposition,WAF66369,74.25234817728365,62.562812358636556,327.3048760162479,358.8938311504877,1441.2144830873292,0.4988803995832289,-0.5198663003908313,0.011102234652508116,157.19295248472378,793,0,Joining
P1608,2025-07-01 00:16:03,Deposition,WAF53614,68.92078008587316,37.72541286787705,252.58052225060845,758.9605672093345,1486.9970655078855,0.4848673764662976,0.945519839230321,0.003740616374092758,104.39181113296337,727,0,Joining
P1501,2025-07-01 02:13:54,Deposition,WAF73652,77.93226565166805,38.89520878243761,336.1880355962737,590.951211058887,1641.2476669879425,0.448152375968233,1.7174455288472572,0.009675080697084684,121.06890946048628,187,0,Joining
P1072,2025-07-01 03:51:15,Deposition,WAF85033,71.43899487574686,57.47865868725982,273.260462308447,497.0429964525237,1251.8288916103281,0.45662033253552675,1.5142013521456397,0.00722334791549188,153.04494064792362,593,1,Non-Joining
P1702,2025-07-01 04:07:27,Etching,WAF42632,76.89176984676364,44.98632684434463,330.8250520391736,550.0084817234858,1528.2020273113421,0.5183962463554603,1.62483438938657,0.008518054579697348,126.13777617491147,403,0,Joining
P1216,2025-07-01 06:56:24,Deposition,WAF10721,77.77542462286937,57.60938482749488,277.3815957680767,390.86888802030194,1229.2775307437187,0.4854503524186603,2.547833271970419,0.0026063144174906907,128.9400105469036,985,1,Non-Joining
P1777,2025-07-01 02:46:51,Lithography,WAF23162,69.0027687102232,45.015856781925365,262.2027359584625,539.6654254291426,1861.0576969078445,0.47889017590849436,2.8957687208659104,0.008094961449765802,125.85715460059744,989,0,Joining
P1882,2025-07-01 04:39:27,Deposition,WAF57511,83.38317670318482,45.691535823841825,303.0069996154861,691.5273077283673,2043.5652754538337,0.4674654625186167,1.098934216927472,0.006754834508802578,120.35875338064606,361,0,Joining
